faction,x,y,asset_mint,cargo_type
Ustur,44,10,FTZDszKrfwutW8EjVCcZxLjG4RcwNbuMdY9L1VbDfWoV,Particle Accelerator
Ustur,44,10,8s8Dk8aspu72jJZ8DdwZb8xKVV3yTEmNRuUgk1Y8BG1b,Fuel
Ustur,44,10,7yBzmnMQZLZAgFHoPSUY3wEiBZZknXQdyckqC8eT1jDS,Strange Emitter
Ustur,44,10,GoQJVWbZnMAuJ6vWtpPz71Q3XgkpZmZFX4Zr2VL8cv72,Biomass
Ustur,44,10,CLnYYYZaXuyLZguX5JYAZKBFfWfRE93CGyFGDCqtnVFw,Honeyland Explorer Badge
Ustur,44,10,Ddi3aBcbbXrpnG7Adcghddt1ZjnvdXeUC8ymQjQSnxXo,Titanium
Ustur,44,10,CQcTFUDdckYG3dBZ94FNwjudgifYL9ZEHZPbp3byVaVM,Hydrocarbon
Ustur,44,10,EHHKKtNB5wzqPon21bqXrwvW1NGBAvGjmAkhvmnP4iVY,Iron Ore
Ustur,44,10,CCu8j8k2CtyFvYd6FSbxkMLxHRF8Su5q17nF8SGXLyPE,Golden Ticket 2624
Ustur,44,10,ChCJxrD52KDdJogLyGFw9YkzrsTMWq8oV27r5kuQHwYP,Nitrogen
Ustur,44,10,HAQ5VsFemfeSTdgouQMt2RPBLvU5yXQvwqjpbb2fbEmf,The Edge of Paradise
Ustur,44,10,Dt6tYeQ5gmfkvgkzoAKPs4LB1umX6AgGQdsy6UPX8JWd,Rochinol
Ustur,44,10,6CT9ChUxdjXG9J9oLAuQqqknhaqtmBJ8oYrdCyKtNX4k,Copper Wire
Ustur,44,10,7TtNzFzdaKdBQ8QzT9m66CoQyeHEEMPxGTc5Mb88V9VU,Energy Substrate
Ustur,44,10,7rDFCkwJHD8F6p556Knm3JbwYUR4io2odg8UW4pU5kEE,Crystal Lattice
Ustur,44,10,4kCxgaTfvFk1j9rVWyPfmRPXVC9fou2DMnnmQQa1dCwH,Survey Data Unit
Ustur,44,10,5UNSTe8xMVYfXz52iNrTZuoiQjw6PWVrzkoQ2S8xePPQ,Radiation Absorber
